customer_id,customer_name,segment,region,industry,csm_name,renewal_date,arr_gbp,contract_term_months,products_owned,seats_purchased,active_users_30d,active_users_previous_30d,weekly_active_users_30d,days_since_last_customer_engagement,support_tickets_90d,critical_support_tickets_90d,nps_score,invoice_status,renewal_stage,executive_sponsor_status,last_renewal_discount_pct,usage_data_last_synced_at,nps_response_date,customer_notes
CUST-1011,Solstice Media,Mid-market,UK & Ireland,Media,Ben Carter,2026-09-12,48000,12,Teams Workspace,150,138,110,92,4,14,0,52,Current,In discussion,Active,5,2026-07-20,2026-07-08,Most tickets were opened during onboarding of a new team; 4 remain open and their business impact is not recorded
CUST-1012,Redcliff Insurance,Enterprise,DACH,Insurance,Ben Carter,2026-10-14,195000,36,Secure Connect;Data Quality;Analytics Hub,700,602,580,390,11,3,0,47,Current,In discussion,Active,7,2026-07-20,2026-05-06,Legal requested updated data-processing terms; the customer's counsel is unavailable until late August
CUST-1013,Mosaic Foods,Mid-market,Benelux,Food and beverage,Ben Carter,2026-08-17,56000,12,Workflow Pro,170,141,136,90,9,2,0,35,Current,Verbal commitment,Active,10,2026-07-20,2026-04-20,Internal approval is recorded in the CRM; the final PO has not arrived and the buyer has not replied for 9 days
CUST-1014,Horizon Telecom,Enterprise,Southern Europe,Telecommunications,Ben Carter,2026-11-06,220000,24,Secure Connect;Teams Workspace,900,781,720,500,6,8,1,42,Current,Outreach scheduled,Active,9,2026-07-20,2026-03-03,Analytics Hub evaluation is active; account notes do not say whether it is a condition of the core renewal
CUST-1015,Cedar Housing Association,Mid-market,UK & Ireland,Housing,Ben Carter,2026-10-02,72000,12,Teams Workspace;Data Quality,260,198,203,126,21,5,0,28,Current,In discussion,Active,12,2026-07-20,2026-06-12,Budget is confirmed but procurement timing may delay signature
CUST-1016,Newbridge Pharma,Mid-market,DACH,Pharmaceuticals,Ben Carter,2026-11-21,110000,24,Data Quality;Analytics Hub,320,286,247,181,7,4,0,58,Current,Outreach scheduled,Active,3,2026-07-20,2026-07-04,The analytics team has requested a product expansion workshop
CUST-1017,Pivotal Legal,Mid-market,UK & Ireland,Legal,Chloe Martin,2026-08-11,72000,12,Workflow Pro,200,190,184,132,2,6,1,-10,Current,In discussion,Active,8,2026-07-20,2026-07-18,Adoption is strong but an unresolved reporting defect is driving poor sentiment
CUST-1018,Lantern Hospitality,Mid-market,Southern Europe,Hospitality,Chloe Martin,2026-08-26,68000,12,Teams Workspace;Analytics Hub,220,97,156,54,49,10,3,-22,Overdue,Not started,Inactive,22,2026-07-20,2026-07-09,The customer has paused 2 locations and requested a cancellation clause
CUST-1019,Helix BioScience,Enterprise,North America,Life sciences,Chloe Martin,2026-09-22,175000,24,Data Quality;Secure Connect,480,372,365,241,14,7,0,33,Current,Commercial review,Active,5,2026-07-20,2026-05-14,Security review passed; the latest legal redlines have no named owner on either side
CUST-1020,Ember Construction,SMB,UK & Ireland,Construction,Chloe Martin,2026-09-03,22000,12,Teams Workspace,45,18,29,10,58,2,0,6,Current,Outreach scheduled,Unknown,15,2026-07-20,2026-04-28,The original project has ended and a new use case has not been agreed
CUST-1021,Crescent Mobility,Mid-market,DACH,Transport,Chloe Martin,2026-10-19,92000,24,Workflow Pro;Analytics Hub,280,258,230,171,6,4,0,49,Current,In discussion,Active,6,2026-07-20,2026-06-30,Operations wants to extend the workflow to 3 additional depots
CUST-1022,Tidal Payments,Enterprise,Benelux,Financial services,Chloe Martin,2026-11-13,205000,36,Secure Connect;Data Quality,650,520,535,326,18,11,2,31,Current,Outreach scheduled,Active,4,2026-07-09,2026-02-21,Migration drove most support volume; engineering marked the critical incidents resolved while the sponsor requested a written remediation plan
CUST-1023,Alpine Fitness,SMB,DACH,Health and fitness,Chloe Martin,2026-10-07,18000,12,Teams Workspace,60,52,41,34,10,1,0,63,Current,In discussion,Active,0,2026-07-20,2026-07-02,A second site is due to open before renewal
CUST-1024,Wren Publishing,Mid-market,UK & Ireland,Publishing,Chloe Martin,2026-11-27,53000,12,Workflow Pro,140,86,91,49,32,3,0,,Current,Not started,Unknown,10,2026-07-20,,No current NPS response and the commercial contact changed in July
CUST-1025,Quantum Public Sector,Enterprise,UK & Ireland,Public sector,Diego Alvarez,2026-08-20,260000,36,Secure Connect;Workflow Pro;Data Quality,1200,1040,1015,680,12,9,0,46,Current,Commercial review,Inactive,3,2026-07-18,2026-04-09,Funding is approved and procurement is active; the original sponsor moves roles on 1 August and no replacement is recorded
CUST-1026,BluePeak Software,Mid-market,North America,Software,Diego Alvarez,2026-08-06,84000,12,Analytics Hub;Teams Workspace,260,221,218,145,3,5,0,57,Overdue,Verbal commitment,Active,5,2026-07-20,2026-06-25,Verbal commitment was logged 18 days ago; the purchase order is still missing and an unrelated invoice is overdue
CUST-1027,Rivermark Accountancy,Mid-market,UK & Ireland,Professional services,Diego Alvarez,2026-09-09,61000,12,Workflow Pro,190,104,153,62,46,4,1,2,Current,Outreach scheduled,Inactive,14,2026-07-20,2026-07-11,A competing workflow tool is being trialled by the finance team
CUST-1028,Foxglove Charity,SMB,UK & Ireland,Non-profit,Diego Alvarez,2026-09-25,16000,12,Teams Workspace,55,44,46,29,23,1,0,39,Current,In discussion,Active,20,2026-07-20,2026-05-17,The customer is satisfied but needs a non-profit pricing exception
CUST-1029,Ironwood Automotive,Enterprise,DACH,Automotive,Diego Alvarez,2026-10-30,185000,24,Data Quality;Analytics Hub,560,302,410,176,52,13,2,-2,Disputed,Not started,Inactive,11,2026-07-20,2026-07-07,A data migration issue remains open and finance has disputed the latest invoice
CUST-1030,Parkside Clinics,Mid-market,UK & Ireland,Healthcare,Diego Alvarez,2026-10-11,78000,24,Secure Connect;Teams Workspace,240,219,202,142,9,6,0,44,Current,In discussion,Active,4,2026-07-20,2026-06-08,A successful pilot supports 40 more clinicians; data-protection review for the added cohort has not started
CUST-1031,Westhaven Council,Enterprise,UK & Ireland,Public sector,Diego Alvarez,2026-11-18,145000,36,Workflow Pro;Data Quality,700,490,515,294,27,3,0,25,Current,Outreach scheduled,Active,7,2026-07-20,2026-01-14,Budget planning is underway and usage is stable across core teams
CUST-1032,Kinetic Research,Mid-market,Nordics,Research,Diego Alvarez,2026-11-02,99000,12,Analytics Hub,300,284,250,190,5,2,0,66,Current,In discussion,Active,2,2026-07-20,2026-07-10,The customer has asked about enterprise reporting and more licences
CUST-1033,Everfield Agriculture,Mid-market,UK & Ireland,Agriculture,Emma Wilson,2026-08-24,67000,12,Workflow Pro;Teams Workspace,210,151,168,92,26,4,0,18,Current,In discussion,Active,9,2026-07-20,2025-11-25,Usage usually falls during the seasonal shutdown; a prior-year baseline is unavailable and the sponsor remains responsive
CUST-1034,Meadow Homeware,SMB,Benelux,Retail,Emma Wilson,2026-08-13,28000,12,Teams Workspace,80,69,62,44,7,2,0,41,Overdue,Verbal commitment,Active,5,2026-07-20,2026-06-22,Renewal approval was recorded in June; the buyer has since asked to revisit warehouse-seat pricing and one invoice is overdue
CUST-1035,Sterling Aviation,Enterprise,UK & Ireland,Aviation,Emma Wilson,2026-09-16,230000,36,Secure Connect;Analytics Hub;Workflow Pro,950,701,770,430,34,15,2,12,Current,In discussion,Active,8,2026-07-12,2026-03-30,A major incident is marked resolved; the service-credit request remains open and adoption has not returned to the prior period
CUST-1036,Clearview Recruitment,Mid-market,UK & Ireland,Recruitment,Emma Wilson,2026-09-28,46000,12,Workflow Pro,130,54,89,31,61,3,0,-15,Overdue,Not started,Unknown,18,2026-07-20,,Headcount reductions have reduced the addressable user base
CUST-1037,UrbanNest Property,Mid-market,Southern Europe,Real estate,Emma Wilson,2026-10-23,81000,24,Teams Workspace;Data Quality,270,234,220,152,8,5,0,50,Current,In discussion,Active,6,2026-07-20,2026-07-06,A company-wide rollout is being explored while finance has paused new commitments until Q4
CUST-1038,Aurora Marine,Mid-market,Nordics,Maritime,Emma Wilson,2026-10-05,105000,12,Secure Connect;Analytics Hub,340,190,265,112,40,8,1,5,Current,Outreach scheduled,Inactive,13,2026-07-20,2026-06-16,The champion moved roles and usage is declining across 2 divisions
CUST-1039,Silverline Events,SMB,UK & Ireland,Events,Emma Wilson,2026-11-09,19000,12,Teams Workspace,50,46,31,30,6,7,0,59,Current,In discussion,Active,0,2026-07-20,2026-05-10,Usage grew after the event schedule resumed; the latest NPS predates the current support-ticket spike
CUST-1040,Fairmont Engineering,Enterprise,DACH,Engineering,Emma Wilson,2026-11-24,172000,24,Workflow Pro;Data Quality,540,451,442,288,13,4,0,37,Current,Outreach scheduled,Active,5,2026-07-20,2026-05-28,The sponsor requested a roadmap session; procurement has not named a commercial lead
